Clf-Fitur,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,Avg
MNB-OCCURRENCE,88.88,92.27,89.0,92.76,89.5,91.91,87.1,89.63,84.51,91.72,89.73
MNB-PRESENCE,92.74,93.38,88.38,91.1,90.01,90.53,87.55,89.16,86.16,89.53,89.85
MNB-TFIDF,89.93,92.27,90.13,92.12,92.36,91.77,87.45,90.85,86.24,92.85,90.6
SVM-OCCURRENCE,94.66,95.61,95.07,91.65,91.32,91.91,92.8,92.66,92.34,93.98,93.2
SVM-PRESENCE,92.26,95.61,95.07,90.54,90.72,91.65,91.69,91.72,91.81,92.31,92.34
SVM-TFIDF,95.15,95.61,94.56,93.31,92.44,94.79,91.65,91.99,89.57,92.87,93.19
LR-OCCURRENCE,94.16,93.39,94.49,92.2,91.75,94.4,89.46,93.8,90.65,92.87,92.72
LR-PRESENCE,93.16,94.49,93.37,92.74,91.64,92.16,89.45,92.19,90.61,91.76,92.16
LR-TFIDF,92.41,93.38,91.73,92.16,92.36,94.79,89.99,90.85,89.44,91.76,91.89
